Sport,count,age_std,age_mean,age_max,age_min,height_std,height_mean,height_max,height_min,weight_std,weight_mean,weight_max,weight_min,PCA_1,PCA_2
Alpine Skiing,354,3.8419462785894223,24.508474576271187,36.0,17.0,7.746266804946867,173.6581920903955,192.0,154.0,12.035152880253523,72.78248587570621,100.0,48.0,-10.289880628598826,2.349023874643115
Archery,206,5.599662129112601,24.79126213592233,45.0,14.0,7.998425135065666,173.3495145631068,191.0,153.0,13.107523828475081,70.83252427184466,110.0,48.0,3.4547541836476507,7.246168279628428
Art Competitions,2,8.48528137423857,32.0,38.0,26.0,2.8284271247461903,174.0,176.0,172.0,0.7071067811865476,75.5,76.0,75.0,-52.16549808875703,-40.30337582124975
Athletics,3648,4.04745903329791,25.09950657894737,48.0,15.0,9.115514482266274,177.62746710526315,207.0,150.0,15.784866642520045,71.51315789473684,154.0,40.0,68.9388514778739,16.270909348693557
Badminton,154,3.34751249612638,25.493506493506494,34.0,16.0,7.691446430143026,174.5909090909091,194.0,156.0,7.92404364590658,67.83766233766234,88.0,50.0,-27.63857179956985,-0.04510549439683497
Baseball,333,4.369701026173585,26.255255255255257,38.0,18.0,6.590334194405513,182.42942942942943,206.0,165.0,9.858877040141902,85.77777777777777,120.0,65.0,23.681632051672096,-33.11454624475977
Basketball,1000,3.942630509613516,25.297,37.0,17.0,12.106203003053892,192.153,223.0,162.0,15.701263186943452,86.692,141.0,50.0,60.79786845181943,-21.94821999805483
Beach Volleyball,68,4.125021616459708,29.61764705882353,39.0,19.0,9.803960784235292,186.8235294117647,207.0,165.0,12.672575174178885,79.63235294117646,106.0,59.0,5.588271940735208,-27.37486506966009
Biathlon,388,4.054835874804658,27.012886597938145,40.0,18.0,7.988474925734908,174.52835051546393,194.0,151.0,8.94409870002089,66.92912371134021,88.0,48.0,-26.197421414304024,6.313244710080071
Bobsleigh,283,4.263808350465583,29.3321554770318,46.0,19.0,6.801830074618344,182.20848056537102,201.0,160.0,11.473109132463884,90.07773851590106,123.0,55.0,29.089931146881398,-21.54639196973384
Boxing,708,3.3046473621345553,23.323446327683616,35.0,16.0,10.203118090854446,174.3093220338983,205.0,143.0,14.527867014155275,67.44562146892656,140.0,47.0,47.20084563326741,16.507280513578134
Canoeing,1041,4.253781119099467,25.866474543707973,43.0,15.0,8.148846443942531,179.5196926032661,203.0,160.0,10.168375377145411,78.02785782901057,115.0,52.0,15.461797651405128,-10.53126330695384
Cross Country Skiing,687,3.9634053694777984,27.685589519650655,43.0,18.0,9.058229120766367,173.31149927219795,197.0,153.0,9.874892478931464,65.82314410480349,100.0,45.0,-9.423849282335336,9.627456654568505
Curling,131,6.202683487229383,32.13740458015267,50.0,22.0,8.360920475163846,174.26717557251908,189.0,157.0,11.756878522860216,73.38931297709924,100.0,50.0,-9.808920360457508,-2.1168845029474745
Cycling,845,4.489362245350304,25.244970414201184,43.0,17.0,7.259476565152629,177.86153846153846,196.0,155.0,9.37431198107272,73.16923076923077,100.0,45.0,-7.735085141155796,2.3612508260017964
Diving,318,4.279356040543808,22.468553459119498,38.0,13.0,8.069291509688153,165.874213836478,188.0,137.0,9.736498692103972,58.69496855345912,80.0,28.0,-39.82977188981002,44.69758880316412
Equestrianism,663,8.345731414202769,35.31523378582202,61.0,19.0,7.538606493958371,175.44645550527903,196.0,152.0,8.471980724771585,68.28355957767722,88.0,45.0,-22.05872126004061,8.143107071096754
Fencing,1109,5.035070192897553,27.153291253381425,52.0,15.0,8.217776642094698,178.02524797114518,200.0,155.0,10.169682056404667,72.14066726780884,108.0,46.0,5.504991289950377,3.5972408756152383
Figure Skating,249,4.620291989658027,24.140562248995984,41.0,14.0,10.105507984168101,168.4738955823293,193.0,145.0,12.320488456540476,60.23694779116466,86.0,36.0,-29.626027097637035,29.62387930223858
Football,1084,3.6320700746769075,24.22140221402214,37.0,15.0,7.399456967907258,175.4760147601476,199.0,153.0,8.322368174768705,70.73616236162361,96.0,49.0,-13.460919297480434,1.7353555622419197
Freestyle Skiing,102,3.7051203636775396,24.931372549019606,34.0,18.0,8.520397032938831,170.72549019607843,193.0,153.0,11.446422084146691,67.36274509803921,100.0,48.0,-11.962440179025174,6.915508607464041
Golf,4,7.023769168568493,33.0,40.0,26.0,12.606215398233788,179.75,193.0,168.0,10.344080432788601,80.5,86.0,65.0,-27.224374462815934,-34.298081357722324
Gymnastics,1161,4.405160747015374,21.810508182601207,44.0,13.0,8.24171700527901,161.25409130060294,185.0,136.0,9.927155736930674,55.069336778639105,86.0,30.0,-33.72044928854604,49.59140239402571
Handball,937,4.196742831482558,26.633938100320172,42.0,17.0,10.467616442572618,183.23906083244398,214.0,157.0,14.164276693791008,81.15795090715048,126.0,50.0,36.379406089678696,-10.837883318417905
Hockey,1168,3.708243571947622,25.749143835616437,38.0,16.0,8.596396970409288,173.65753424657535,200.0,138.0,9.961448288964341,69.1875,100.0,47.0,-6.0077908848162815,16.517739658463118
Ice Hockey,1301,4.361480987863777,25.820906994619524,43.0,15.0,7.722538026263029,178.78862413528054,198.0,152.0,10.456219878394492,80.88009223674096,113.0,50.0,12.74103806792909,-3.6703048550491557
Judo,526,3.2727920562668325,25.245247148288975,35.0,16.0,11.056490012312182,173.84980988593156,203.0,146.0,22.59464598837994,80.10931558935361,175.0,48.0,96.37477092621101,9.375114362092875
Lacrosse,2,1.4142135623730951,28.0,29.0,27.0,8.48528137423857,174.0,180.0,168.0,9.192388155425117,66.5,73.0,60.0,-55.679852850725595,-19.35505258888268
Luge,178,4.6007383784139275,25.882022471910112,42.0,17.0,6.633089281845652,178.25280898876406,192.0,157.0,9.811013351706718,79.20786516853933,112.0,56.0,7.376541117924938,-11.386413666000907
Modern Pentathlon,153,3.748890444726742,27.15686274509804,37.0,20.0,5.761812771351445,179.52287581699346,195.0,160.0,6.54808922359952,71.59477124183006,86.0,49.0,-28.848013303258558,-7.5848475471233385
Nordic Combined,137,3.7532010096458137,24.905109489051096,36.0,17.0,5.942664727361722,178.34306569343065,189.0,165.0,5.927916069099179,67.18978102189782,85.0,56.0,-34.820221167186894,-12.868624621195636
Rhythmic Gymnastics,124,2.527932079379185,18.911290322580644,25.0,15.0,4.976070458659746,170.6048387096774,178.0,156.0,5.532134387722204,49.306451612903224,63.0,36.0,-73.52893316234275,25.091696916327145
Rowing,2104,4.326025008973134,25.879752851711025,58.0,13.0,10.306980831668751,184.63117870722434,208.0,140.0,13.55181232623895,80.86359315589354,137.0,40.0,53.11262143263906,15.123012338108152
Rugby,30,3.2731931051265946,24.1,32.0,20.0,5.767527010434535,173.66666666666666,183.0,164.0,8.625276940414755,77.53333333333333,99.0,68.0,-16.964479709996326,-26.030679767532522
Rugby Sevens,74,3.048813050096561,25.33783783783784,32.0,19.0,9.440395451025932,176.59459459459458,198.0,158.0,13.820830824510812,81.25675675675676,109.0,58.0,5.435463051846961,-16.85326160630363
Sailing,677,6.817219579475733,30.0192023633678,66.0,16.0,7.824393464545548,179.39290989660265,204.0,150.0,13.198147821031455,77.5096011816839,130.0,48.0,40.38616030376378,4.49955919508129
Shooting,542,7.031889250034922,30.20110701107011,58.0,16.0,8.05613155949364,173.70110701107012,198.0,147.0,12.79143860437361,74.88560885608857,130.0,41.0,36.03953870327844,16.576287734935335
Short Track Speed Skating,274,3.8774456329875755,22.514598540145986,34.0,13.0,6.281844092206638,169.68613138686132,188.0,154.0,7.760974233318864,64.0948905109489,83.0,46.0,-37.69370399239463,10.679576801767523
Skeleton,24,4.759239678650423,28.958333333333332,39.0,21.0,9.043273583246796,175.70833333333334,190.0,157.0,13.03145581198471,71.08333333333333,100.0,51.0,-11.243204226078554,-3.0209114062116322
Ski Jumping,175,4.152851316364365,23.725714285714286,41.0,16.0,6.151305146731887,177.26285714285714,193.0,162.0,6.259650021431277,62.92,78.0,51.0,-42.29476347574019,-3.2048147296980964
Snowboarding,89,4.269311111251769,24.719101123595507,36.0,15.0,8.78396661301892,173.56179775280899,190.0,154.0,12.112997940275712,69.57303370786516,102.0,47.0,-9.226926416893615,6.088117146115797
Softball,172,4.3255076372455346,26.819767441860463,41.0,18.0,6.649516393802921,171.0174418604651,191.0,150.0,10.832796647409861,69.84302325581395,109.0,50.0,0.8040973602564607,7.377688175335502
Speed Skating,488,3.9256945061358803,25.325819672131146,37.0,15.0,8.826723508820711,175.20901639344262,193.0,154.0,10.088366427378457,71.24590163934427,96.0,48.0,-15.422472540969519,2.496047765622219
Swimming,2486,3.6823565126777424,21.0402252614642,41.0,13.0,9.681348784526723,181.11102172164118,208.0,150.0,11.520032662927262,73.25804505229284,114.0,45.0,16.505917645817696,5.598400363015914
Synchronized Swimming,214,3.044191362030245,23.817757009345794,31.0,16.0,5.2492208648137515,168.8644859813084,185.0,155.0,5.482614193999583,56.38317757009346,104.0,39.0,-14.874415550708791,21.942672114474817
Table Tennis,163,3.8207587439386277,24.791411042944784,35.0,15.0,8.67103520193237,170.30061349693253,192.0,150.0,8.91815223966491,63.38036809815951,85.0,45.0,-32.69241432357246,13.912851701530057
Taekwondo,144,3.270614794564034,23.45138888888889,32.0,17.0,10.515907216417638,178.55555555555554,207.0,155.0,13.648660604100911,68.72222222222223,106.0,46.0,2.5318425181603152,2.0905736474476386
Tennis,173,4.426415895787947,25.92485549132948,38.0,16.0,8.906604167436797,180.4277456647399,203.0,162.0,10.51229124597585,72.05780346820809,98.0,54.0,-9.117003978149915,-12.768537539472991
Trampolining,29,3.840412539416358,23.96551724137931,34.0,18.0,7.041222744239098,166.31034482758622,180.0,155.0,9.257136775525582,59.13793103448276,84.0,47.0,-41.30085207231628,13.517597964904143
Triathlon,30,3.7453419345764085,28.2,35.0,22.0,8.220803439774135,174.93333333333334,194.0,161.0,8.24927722365079,62.46666666666667,75.0,48.0,-46.54633070720208,-1.411053783179938
Tug-Of-War,8,2.799872446074235,24.875,30.0,21.0,7.347254103210451,180.375,190.0,170.0,7.521398046336106,83.0,99.0,75.0,-13.371605431172474,-44.410861840046024
Volleyball,958,4.024033769496328,25.768267223382047,40.0,17.0,10.776618095960577,186.8820459290188,219.0,155.0,11.399457353775661,79.60020876826722,110.0,53.0,16.963975297220482,-14.89834455326649
Water Polo,764,4.05487362269974,25.968586387434556,41.0,17.0,9.005885459484912,185.56413612565444,205.0,162.0,12.770003510001372,85.55497382198953,120.0,54.0,25.291315628575198,-21.221688437158242
Weightlifting,532,3.9014645634030773,25.028195488721803,40.0,17.0,10.688901699576451,167.4266917293233,205.0,140.0,26.01610171599405,81.21898496240601,170.0,47.0,92.43515123392585,16.763835636365027
Wrestling,967,3.5580790670946265,25.924508790072387,41.0,18.0,10.599202029668609,172.7456049638056,214.0,150.0,21.011056443231876,76.65770423991727,182.0,48.0,108.67813077957797,8.171825680392006
